峰,23792,10
峻,23803,10
崇,23815,11
崎,23822,11
崖,23830,11
崙,23833,11
崩,23849,11
嵐,23888,12
嶇,23943,14
嶺,23994,17
巌,24012,20
巍,24013,21
川,24029,3
巡,24033,7
巣,24035,11
工,24037,3
左,24038,4
巧,24039,5
巫,24043,7
差,24046,10
己,24049,3
已,24050,3
巳,24051,3
巷,24055,9
巻,24059,9
巾,24062,3
市,24066,5
布,24067,5
帆,24070,6
希,24076,7
帖,24086,8
帚,24090,8
帛,24091,8
師,24107,10
席,24109,10
帯,24111,11
帰,24112,10
帳,24115,11
帷,24119,11
常,24120,11
帽,24125,12
幄,24132,12
幅,24133,12
幕,24149,14
幗,24151,14
幟,24159,15
干,24178,3
平,24179,5
年,24180,6
幷,24183,8
幸,24184,8
幹,24185,13
幻,24187,4
幼,24188,5
幽,24189,9
広,24195,5
床,24202,7
序,24207,7
底,24213,9
庖,24214,8
庚,24218,8
府,24220,8
度,24230,9
座,24231,10
庭,24237,10
康,24247,11
庸,24248,12
廃,24259,12
廈,24264,13
廉,24265,13
廓,24275,14
廟,24287,15
廩,24297,16
廬,24300,19
延,24310,7
廷,24311,7
建,24314,10
廻,24315,9
弁,24321,5
弄,24324,7
弊,24330,15
弐,24336,6
弓,24339,3
弔,24340,5
引,24341,4
弘,24344,5
弛,24347,6
弟,24351,7
弥,24357,8
弦,24358,8
弧,24359,9
弩,24361,8
弱,24369,10
張,24373,11
強,24375,11
弾,24382,12
彊,24394,16
彌,24396,17
当,24403,6
彗,24407,11
形,24418,9
彦,24422,9
彩,24425,11
彫,24427,11
彬,24428,11
影,24433,15
彷,24439,7
役,24441,7
彿,24447,8
往,24448,8
征,24449,8
径,24452,8
待,24453,9
徇,24455,9
很,24456,9
徊,24458,9
律,24459,9
後,24460,9
徒,24466,10
従,24467,9
得,24471,11
徙,24473,11
御,24481,13
復,24489,12
循,24490,12
微,24494,13
徳,24499,15
徴,24500,14
徹,24505,15
徼,24508,16
心,24515,4
必,24517,5
忌,24524,7
忍,24525,7
志,24535,7
忘,24536,7
忙,24537,6
応,24540,7
忠,24544,8
快,24555,7
念,24565,8
忸,24568,7
忽,24573,8
忿,24575,8
怏,24591,8
怒,24594,9
怖,24598,8
怙,24601,8
怜,24604,8
思,24605,9
急,24613,9
性,24615,8
怨,24616,9
怩,24617,8
怪,24618,8
怱,24625,9
恋,24651,10
恍,24653,9
恐,24656,10
恒,24658,9
恢,24674,9
恣,24675,10
恥,24677,10
恨,24680,9
恩,24681,10
恪,24682,9
恫,24683,9
恬,24684,9
恭,24685,10
息,24687,10
恵,24693,11
悄,24708,10
悉,24713,11
悋,24715,10
悌,24716,10
悍,24717,10
悔,24724,10
悖,24726,10
悚,24730,10
悟,24735,9
悠,24736,11
患,24739,11
悦,24742,10
悧,24743,10
悩,24745,10
